codigo;nome;detalhe;executivo
665;Abraão;;False
762;Angelo Laporta;;False
V-844;Bairro de Fátima;;False
844;Bairro de Fátima;;False
V-661;Balneário;;False
661;Balneário;;False
763;Caeira do Saco dos Limões;;False
662;Canto via Otília Cruz;;False
V-662;Canto via Otília Cruz;;False
631;Capoeiras;;False
V-631;Capoeiras;;False
183;Carianos via Saco dos Limões;;False
772;Chico Mendes;;False
V-663;Coloninha via Araci Vaz Callado;;False
663;Coloninha via Araci Vaz Callado;;False
630;Corredor Continente;;False
V-630;Corredor Continente;;False
664;Itaguaçu;;False
V-670;Monte Cristo;;False
670;Monte Cristo;;False
672;Monte Cristo via Esc. Edith Gama Ramos;;False
764;Monte Serrat;;False
V-764;Monte Serrat via NEIM Evandro Sousa;;False
160;Morro da Cruz;;False
161;Morro da Penitenciária;;False
765;Morro da Queimada;;False
766;Morro do 25;;False
760;Morro do Geraldo;;False
768;Morro do Horácio;;False
769;Morro Nova Trento;;False
186;Multi-hospital via Túnel;;False
460;Porto da Lagoa;;False
467;Tapera / Saco dos Limões;;False
461;Tapera via Túnel;;False
154;TICEN / Carvoeira via Pantanal;;False
188;TICEN / UFSC;;False
431;TICEN / Aeroporto;;False
104;TICEN / Itacorubi via Mauro Ramos;;False
476;TICEN / Tapera;;False
191;TITRI / TICEN via Transcaeira;;False
184;UDESC via Beira Mar;;False
V-671;Vila / Promorar;;False
671;Vila / Promorar;;False
761;Vila Aparecida;;False
137;Volta ao Morro Norte via H.U.;;False
135;Volta ao Morro Norte via Lauro Linhares;;False
136;Volta ao Morro Sul via H.U.;;False
138;Volta ao Morro Sul via Lauro Linhares;;False
601;Circular Abraão / Estreito;;False
291;Circular Canasvieiras / Praia Brava;;False
605;Circular Estreito / Abraão;;False
296;Circular Santinho Ingleses;;False
294;Interpraias;;False
100;Madrugadão Centro - UFSC Norte;;False
102;Madrugadão Centro / UFSC Sul;;False
600;Madrugadão Continente Norte;;False
604;Madrugadão Continente Sul;;False
300;Madrugadão Leste;;False
201;Madrugadão Norte - Jurerê / Canasvieiras;;False
200;Madrugadão Norte - Rio Vermelho / Santinho;;False
301;Madrugadão Norte - Santo Antônio / TICAN;;False
500;Madrugadão Sul - Pântano do Sul;;False
501;Madrugadão Sul - Ribeirão;;False
720;Monte Serrat - Serrinha;;False
722;Morro do 25 - Morro da Cruz;;False
721;Morro do Horácio - Saco dos Limões;;False
D-564;Pântano do Sul;;False
D-565;Ribeirão da Ilha;;False
D-260;TICEN / Cachoeira do Bom Jesus via Mauro Ramos;;False
D-264;TICEN / Ingleses via Mauro Ramos;;False
D-266;TICEN / Praia Brava via Mauro Ramos;;False
D-267;TICEN / Rio Vermelho via Mauro Ramos;;False
2120;Executivo Barra da Lagoa;;True
1126;Executivo Cachoeira;;True
4124;Executivo Caieira da Barra do Sul via Tapera;;True
1120;Executivo Canasvieiras;;True
1128;Executivo Costa do Moçambique;;True
1132;Executivo Costa do Moçambique via Vargem Grande;;True
1127;Executivo Gaivotas;;True
1121;Executivo Ingleses / Santinho;;True
1123;Executivo Jurerê;;True
1129;Executivo Muquém;;True
4120;Executivo Pântano do Sul via Eucaliptos;;True
4125;Executivo Pântano do Sul via Gramal;;True
1122;Executivo Praia Brava;;True
4123;Executivo Ribeirão da Ilha;;True
1125;Executivo Rio Vermelho;;True
673;Ponte Viva;;False
276;Balneário Canasvieiras;;False
277;Balneário Ingleses;;False
280;Cachoeira / TICAN;;False
260;Cachoeira do Bom Jesus;;False
261;Capivari;;False
V-261;Capivari via SC-403;;False
262;Circular Canasvieiras;;False
285;Circular Moçambique;;False
288;Circular Rio Vermelho;;False
281;Costa do Moçambique;;False
250;Forte / Canasvieiras;;False
V-250;Forte / Canasvieiras via Col. Virgílio Várzea;;False
263;Gaivotas;;False
269;Moçambique via Rua Alzira Rosa Aguiar;;False
265;Ponta das Canas;;False
266;Praia Brava;;False
267;Rio Vermelho;;False
287;Rio Vermelho via Vargem Grande;;False
264;Santinho via Ingleses;;False
268;Sítio de Baixo;;False
274;Tulipas Vermelhas via Muquém;;False
283;Vargem do Bom Jesus;;False
270;Vargem Grande;;False
289;Circular Vargem Grande via Rio Vermelho;;False
282;Vargem Pequena;;False
V-282;Vargem Pequena via Esc. Prof. Zulma Freitas;;False
846;Cacupé;;False
V-846;Cacupé via Caminho dos Açores;;False
170;Caminho da Cruz via João Paulo;;False
151;Centro Administrativo;;False
164;Córrego Grande via Poção;;False
165;Itacorubi;;False
169;Monte Verde via Mané Vicente;;False
173;Morro do Quilombo;;False
V-173;Morro do Quilombo via SC 404;;False
178;Saco Grande Retorno SC-401;;False
176;Saco Grande via HU;;False
174;Saco Grande via João Paulo;;False
V-174;Saco Grande via João Paulo / Barreira do Janga;;False
177;Santa Mônica;;False
179;Serrinha;;False
155;Sol Nascente;;False
470;Tapera / TITRI;;False
180;TITRI / Pantanal via Carvoeira;;False
366;Barra do Sambaqui via Padre Rohr;;False
181;Cacupé / João Paulo;;False
940;Canasvieiras / Santo Antônio via Jurerê;;False
273;Circular Ratones;;False
271;Daniela;;False
272;Jurerê;;False
365;Sambaqui;;False
230;TICAN / Gama D'Eça via TITRI;;False
224;TICAN / TITRI via Virgílio Várzea;;False
235;TICAN / UFSC via Beira Mar;;False
233;TICAN / UFSC via Santa Mônica;;False
210;TICAN / TICEN Direto;;False
221;TICAN / TICEN via Mauro Ramos;;False
231;TICAN / TICEN via TITRI;;False
840;TICAN / TILAG via Barra da Lagoa;;False
132;TITRI / TICEN via Gama D'Eça / H.I;;False
850;TILAG / Rio Vermelho via Cidade da Barra;;False
320;TILAG / TICEN via Beira Mar;;False
330;TILAG / TICEN via Mauro Ramos;;False
841;TILAG / TIRIO;;False
843;TILAG / TIRIO via LIC;;False
845;TILAG / TITRI via Córrego Grande;;False
333;TILAG / TITRI via Madre Benvenuta;;False
410;TIRIO / TICEN Direto;;False
430;TIRIO / TICEN via Costeira;;False
847;TIRIO / TITRI via UFSC;;False
212;TISAN / TICEN Direto;;False
332;TISAN / TICEN via Beira Mar;;False
331;TISAN / TICEN via Mauro Ramos;;False
110;TITRI / TICEN Direto;;False
131;TITRI / TICEN via Gama D'Eça;;False
133;TITRI / TICEN via Mauro Ramos;;False
560;Armação;;False
561;Caieira da Barra do Sul;;False
462;Campeche;;False
562;Costa de Cima;;False
V-562;Costa de Cima via Costa de Dentro;;False
563;Costa de Dentro;;False
V-563;Costa de Dentro via Costa de Cima;;False
473;Morro das Pedras via Eucaliptos;;False
474;Morro das Pedras via Gramal;;False
564;Pântano do Sul;;False
565;Ribeirão da Ilha;;False
469;Tapera / TIRIO;;False
477;TIRIO / Aeroporto via Tapera;;False
V-468;TIRIO / Multihospital via Aeroporto;;False
468;TIRIO / Multihospital;;False
360;Barra da Lagoa;;False
V-360;Barra da Lagoa via Terminal Lacustre;;False
362;Canto dos Araçás;;False
363;Joaquina;;False
364;Osni Ortiga;;False
